"","Survived","Pclass","Sex","Age","Fare","Cabin","Embarked","Familiares"
"1","Muere","3a","M",22,3.625,"Unknow","S",1
"2","Vive","1a","F",38,35.64165,"C","C",1
"3","Vive","3a","F",26,7.925,"Unknow","S",0
"4","Vive","1a","F",35,26.55,"C","S",1
"5","Muere","3a","M",35,8.05,"Unknow","S",0
"6","Muere","3a","M",29.6991176470588,8.4583,"Unknow","Q",0
"7","Muere","1a","M",54,51.8625,"E","S",0
"8","Muere","3a","M",2,4.215,"Unknow","S",4
"9","Vive","3a","F",27,3.7111,"Unknow","S",2
"10","Vive","2a","F",14,15.0354,"Unknow","C",1
"11","Vive","3a","F",4,5.56666666666667,"G","S",2
"12","Vive","1a","F",58,26.55,"C","S",0
"13","Muere","3a","M",20,8.05,"Unknow","S",0
"14","Muere","3a","M",39,4.46785714285714,"Unknow","S",6
"15","Muere","3a","F",14,7.8542,"Unknow","S",0
"16","Vive","2a","F",55,16,"Unknow","S",0
"17","Muere","3a","M",2,4.85416666666667,"Unknow","Q",5
"18","Vive","2a","M",29.6991176470588,13,"Unknow","S",0
"19","Muere","3a","F",31,9,"Unknow","S",1
"20","Vive","3a","F",29.6991176470588,7.225,"Unknow","C",0
"21","Muere","2a","M",35,26,"Unknow","S",0
"22","Vive","2a","M",34,13,"D","S",0
"23","Vive","3a","F",15,8.0292,"Unknow","Q",0
"24","Vive","1a","M",28,35.5,"A","S",0
"25","Muere","3a","F",8,4.215,"Unknow","S",4
"26","Vive","3a","F",38,4.48392857142857,"Unknow","S",6
"27","Muere","3a","M",29.6991176470588,7.225,"Unknow","C",0
"28","Muere","1a","M",19,43.8333333333333,"C","S",5
"29","Vive","3a","F",29.6991176470588,7.8792,"Unknow","Q",0
"30","Muere","3a","M",29.6991176470588,7.8958,"Unknow","S",0
"31","Muere","1a","M",40,27.7208,"Unknow","C",0
"32","Vive","1a","F",29.6991176470588,73.2604,"B","C",1
"33","Vive","3a","F",29.6991176470588,7.75,"Unknow","Q",0
"34","Muere","2a","M",66,10.5,"Unknow","S",0
"35","Muere","1a","M",28,41.0854,"Unknow","C",1
"36","Muere","1a","M",42,26,"Unknow","S",1
"37","Vive","3a","M",29.6991176470588,7.2292,"Unknow","C",0
"38","Muere","3a","M",21,8.05,"Unknow","S",0
"39","Muere","3a","F",18,6,"Unknow","S",2
"40","Vive","3a","F",14,5.62085,"Unknow","C",1
"41","Muere","3a","F",40,4.7375,"Unknow","S",1
